Year,Month,Day,CPI,DfF,GDP,Leading_index,Manufacturing_PMI,Services_PMI,Unemployment_Rate,Closing price
2000,9,8,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,9,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,10,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,11,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,12,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,13,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,14,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,15,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,16,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,17,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,18,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,19,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,20,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,21,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,22,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,23,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,24,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,25,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,26,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,27,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,28,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,29,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,9,30,78.9707207568715,,10250952000000.0,100.1252,,,3.992,
2000,10,1,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,2,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,3,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,4,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,5,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,6,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,7,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,8,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,9,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,10,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,11,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,12,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,13,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,14,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,15,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,16,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,17,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,18,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,19,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,20,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,21,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,22,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,23,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,24,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,25,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,26,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,27,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,28,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,29,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,30,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,10,31,78.9707207568715,,10250952000000.0,99.82177,,,3.992,
2000,11,1,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,2,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,3,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,4,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,5,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,6,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,7,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,8,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,9,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,10,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,11,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,12,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,13,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,14,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,15,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,16,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,17,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,18,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,19,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,20,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,21,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,22,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,23,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,24,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,25,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,26,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,27,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
